TIME, SSID, BSSID, SIGNAL, ACTIVE
17:11:47.899890  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 24298686 bytes (237095 packets) 	TX: 682190433 bytes (472506 packets) 	signal: -63 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:48.899817  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 24724670 bytes (241271 packets) 	TX: 694152269 bytes (480785 packets) 	signal: -63 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:49.899959  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 25148716 bytes (245428 packets) 	TX: 706440675 bytes (489290 packets) 	signal: -63 dBm 	tx bitrate: 162.0 MBit/s MCS 12 40Mhz  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:50.899816  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 25560930 bytes (249469 packets) 	TX: 718470426 bytes (497616 packets) 	signal: -63 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:51.899895  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 25961006 bytes (253391 packets) 	TX: 730087022 bytes (505657 packets) 	signal: -62 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:52.900020  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 26383726 bytes (257535 packets) 	TX: 742215168 bytes (514052 packets) 	signal: -63 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:53.899935  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 26875282 bytes (262261 packets) 	TX: 754874939 bytes (522814 packets) 	signal: -63 dBm 	tx bitrate: 162.0 MBit/s MCS 12 40Mhz  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

17:11:54.899869  Connected to 00:25:45:37:15:ee (on wlan0) 	SSID: eduroam 	freq: 5785 	RX: 27291474 bytes (266341 packets) 	TX: 766650370 bytes (530964 packets) 	signal: -63 dBm 	tx bitrate: 180.0 MBit/s MCS 12 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

