TIME # BYTES FROM IP SEQ# TTL DELAY MS
PING 10.82.31.86 (10.82.31.86) 56(84) bytes of data.
[1495005548.043580] 64 bytes from 10.82.31.86: icmp_seq=174 ttl=60 time=47.8 ms
[1495005549.034806] 64 bytes from 10.82.31.86: icmp_seq=175 ttl=60 time=39.0 ms
[1495005550.035966] 64 bytes from 10.82.31.86: icmp_seq=176 ttl=60 time=39.9 ms
[1495005551.039744] 64 bytes from 10.82.31.86: icmp_seq=177 ttl=60 time=43.5 ms
[1495005552.050190] 64 bytes from 10.82.31.86: icmp_seq=178 ttl=60 time=53.2 ms
[1495005553.075570] 64 bytes from 10.82.31.86: icmp_seq=179 ttl=60 time=78.1 ms
[1495005554.034413] 64 bytes from 10.82.31.86: icmp_seq=180 ttl=60 time=36.6 ms
[1495005555.055833] 64 bytes from 10.82.31.86: icmp_seq=181 ttl=60 time=57.2 ms
[1495005556.072736] 64 bytes from 10.82.31.86: icmp_seq=182 ttl=60 time=73.7 ms
[1495005557.051574] 64 bytes from 10.82.31.86: icmp_seq=183 ttl=60 time=51.6 ms
[1495005558.069381] 64 bytes from 10.82.31.86: icmp_seq=184 ttl=60 time=68.6 ms
[1495005559.111618] 64 bytes from 10.82.31.86: icmp_seq=185 ttl=60 time=109 ms
[1495005560.118689] 64 bytes from 10.82.31.86: icmp_seq=186 ttl=60 time=114 ms
[1495005561.100678] 64 bytes from 10.82.31.86: icmp_seq=187 ttl=60 time=95.8 ms
[1495005562.105613] 64 bytes from 10.82.31.86: icmp_seq=188 ttl=60 time=99.7 ms
[1495005563.060041] 64 bytes from 10.82.31.86: icmp_seq=189 ttl=60 time=53.0 ms
[1495005564.058841] 64 bytes from 10.82.31.86: icmp_seq=190 ttl=60 time=50.3 ms
[1495005565.060087] 64 bytes from 10.82.31.86: icmp_seq=191 ttl=60 time=50.1 ms
[1495005566.091133] 64 bytes from 10.82.31.86: icmp_seq=192 ttl=60 time=79.7 ms
[1495005567.076160] 64 bytes from 10.82.31.86: icmp_seq=193 ttl=60 time=62.9 ms
[1495005568.088038] 64 bytes from 10.82.31.86: icmp_seq=194 ttl=60 time=73.7 ms
[1495005569.080068] 64 bytes from 10.82.31.86: icmp_seq=195 ttl=60 time=63.9 ms
[1495005570.091302] 64 bytes from 10.82.31.86: icmp_seq=196 ttl=60 time=74.1 ms
[1495005571.086437] 64 bytes from 10.82.31.86: icmp_seq=197 ttl=60 time=67.9 ms
[1495005572.075866] 64 bytes from 10.82.31.86: icmp_seq=198 ttl=60 time=56.3 ms
[1495005573.073720] 64 bytes from 10.82.31.86: icmp_seq=199 ttl=60 time=52.6 ms
[1495005574.087069] 64 bytes from 10.82.31.86: icmp_seq=200 ttl=60 time=64.1 ms
[1495005575.074781] 64 bytes from 10.82.31.86: icmp_seq=201 ttl=60 time=50.5 ms
[1495005576.063450] 64 bytes from 10.82.31.86: icmp_seq=202 ttl=60 time=37.2 ms
[1495005577.071121] 64 bytes from 10.82.31.86: icmp_seq=203 ttl=60 time=43.4 ms
[1495005578.088926] 64 bytes from 10.82.31.86: icmp_seq=204 ttl=60 time=59.6 ms
[1495005579.084370] 64 bytes from 10.82.31.86: icmp_seq=205 ttl=60 time=53.2 ms
[1495005580.085192] 64 bytes from 10.82.31.86: icmp_seq=206 ttl=60 time=52.6 ms
[1495005581.072997] 64 bytes from 10.82.31.86: icmp_seq=207 ttl=60 time=38.7 ms
[1495005582.089646] 64 bytes from 10.82.31.86: icmp_seq=208 ttl=60 time=53.4 ms
[1495005583.086291] 64 bytes from 10.82.31.86: icmp_seq=209 ttl=60 time=49.0 ms
[1495005584.068224] 64 bytes from 10.82.31.86: icmp_seq=210 ttl=60 time=29.7 ms
[1495005585.077374] 64 bytes from 10.82.31.86: icmp_seq=211 ttl=60 time=36.9 ms
[1495005586.081096] 64 bytes from 10.82.31.86: icmp_seq=212 ttl=60 time=39.4 ms
[1495005587.081751] 64 bytes from 10.82.31.86: icmp_seq=213 ttl=60 time=38.1 ms
[1495005588.077200] 64 bytes from 10.82.31.86: icmp_seq=214 ttl=60 time=32.2 ms
[1495005589.092786] 64 bytes from 10.82.31.86: icmp_seq=215 ttl=60 time=46.4 ms
[1495005590.104555] 64 bytes from 10.82.31.86: icmp_seq=216 ttl=60 time=56.5 ms
[1495005591.101649] 64 bytes from 10.82.31.86: icmp_seq=217 ttl=60 time=51.8 ms
[1495005592.084571] 64 bytes from 10.82.31.86: icmp_seq=218 ttl=60 time=32.7 ms
[1495005593.108599] 64 bytes from 10.82.31.86: icmp_seq=219 ttl=60 time=54.8 ms
[1495005594.084063] 64 bytes from 10.82.31.86: icmp_seq=220 ttl=60 time=28.2 ms
[1495005595.105171] 64 bytes from 10.82.31.86: icmp_seq=221 ttl=60 time=47.9 ms
[1495005596.110705] 64 bytes from 10.82.31.86: icmp_seq=222 ttl=60 time=52.3 ms
[1495005597.096334] 64 bytes from 10.82.31.86: icmp_seq=223 ttl=60 time=36.4 ms
[1495005598.152611] 64 bytes from 10.82.31.86: icmp_seq=224 ttl=60 time=91.3 ms
[1495005599.173160] 64 bytes from 10.82.31.86: icmp_seq=225 ttl=60 time=110 ms
[1495005600.156734] 64 bytes from 10.82.31.86: icmp_seq=226 ttl=60 time=92.3 ms
[1495005601.162832] 64 bytes from 10.82.31.86: icmp_seq=227 ttl=60 time=97.5 ms
[1495005602.185720] 64 bytes from 10.82.31.86: icmp_seq=228 ttl=60 time=118 ms
[1495005603.231886] 64 bytes from 10.82.31.86: icmp_seq=229 ttl=60 time=163 ms
[1495005604.295836] 64 bytes from 10.82.31.86: icmp_seq=230 ttl=60 time=226 ms
[1495005605.216673] 64 bytes from 10.82.31.86: icmp_seq=231 ttl=60 time=145 ms
[1495005606.275836] 64 bytes from 10.82.31.86: icmp_seq=232 ttl=60 time=203 ms
[1495005607.310299] 64 bytes from 10.82.31.86: icmp_seq=233 ttl=60 time=236 ms
[1495005608.283253] 64 bytes from 10.82.31.86: icmp_seq=234 ttl=60 time=207 ms
[1495005609.242993] 64 bytes from 10.82.31.86: icmp_seq=235 ttl=60 time=166 ms
[1495005610.216271] 64 bytes from 10.82.31.86: icmp_seq=236 ttl=60 time=138 ms
[1495005611.168220] 64 bytes from 10.82.31.86: icmp_seq=237 ttl=60 time=89.8 ms
[1495005612.206602] 64 bytes from 10.82.31.86: icmp_seq=238 ttl=60 time=127 ms
[1495005613.175271] 64 bytes from 10.82.31.86: icmp_seq=239 ttl=60 time=94.6 ms
[1495005614.179385] 64 bytes from 10.82.31.86: icmp_seq=240 ttl=60 time=97.0 ms
[1495005615.169857] 64 bytes from 10.82.31.86: icmp_seq=241 ttl=60 time=86.3 ms
[1495005616.150334] 64 bytes from 10.82.31.86: icmp_seq=242 ttl=60 time=65.2 ms
[1495005617.122477] 64 bytes from 10.82.31.86: icmp_seq=243 ttl=60 time=35.9 ms
[1495005618.122454] 64 bytes from 10.82.31.86: icmp_seq=244 ttl=60 time=34.8 ms
[1495005619.123958] 64 bytes from 10.82.31.86: icmp_seq=245 ttl=60 time=34.3 ms
[1495005620.124824] 64 bytes from 10.82.31.86: icmp_seq=246 ttl=60 time=33.4 ms
[1495005621.137008] 64 bytes from 10.82.31.86: icmp_seq=247 ttl=60 time=43.6 ms
[1495005622.150473] 64 bytes from 10.82.31.86: icmp_seq=248 ttl=60 time=55.2 ms
[1495005623.139618] 64 bytes from 10.82.31.86: icmp_seq=249 ttl=60 time=43.0 ms
[1495005624.149302] 64 bytes from 10.82.31.86: icmp_seq=250 ttl=60 time=51.4 ms
[1495005625.146067] 64 bytes from 10.82.31.86: icmp_seq=251 ttl=60 time=46.6 ms
[1495005626.174292] 64 bytes from 10.82.31.86: icmp_seq=252 ttl=60 time=73.0 ms
[1495005627.134798] 64 bytes from 10.82.31.86: icmp_seq=253 ttl=60 time=32.3 ms
[1495005628.145232] 64 bytes from 10.82.31.86: icmp_seq=254 ttl=60 time=41.3 ms
[1495005629.148520] 64 bytes from 10.82.31.86: icmp_seq=255 ttl=60 time=43.2 ms
[1495005630.146643] 64 bytes from 10.82.31.86: icmp_seq=256 ttl=60 time=39.9 ms
[1495005631.148191] 64 bytes from 10.82.31.86: icmp_seq=257 ttl=60 time=40.4 ms
