TIME, SSID, BSSID, SIGNAL, ACTIVE
13:37:49.820187  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 6488717 bytes (63447 packets) 	TX: 188900553 bytes (130879 packets) 	signal: -64 dBm 	tx bitrate: 86.7 MBit/s MCS 12 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:50.820188  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 6652051 bytes (65048 packets) 	TX: 193638834 bytes (134159 packets) 	signal: -65 dBm 	tx bitrate: 52.0 MBit/s MCS 11  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:51.820170  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 6753471 bytes (66042 packets) 	TX: 196528960 bytes (136160 packets) 	signal: -63 dBm 	tx bitrate: 39.0 MBit/s MCS 10  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:52.820156  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 6867539 bytes (67160 packets) 	TX: 199916166 bytes (138505 packets) 	signal: -64 dBm 	tx bitrate: 86.7 MBit/s MCS 12 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:53.820036  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 7015777 bytes (68613 packets) 	TX: 204225282 bytes (141488 packets) 	signal: -63 dBm 	tx bitrate: 130.0 MBit/s MCS 14 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:54.820158  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 7165953 bytes (70085 packets) 	TX: 208400013 bytes (144378 packets) 	signal: -63 dBm 	tx bitrate: 57.8 MBit/s MCS 11 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:55.820162  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 7275941 bytes (71163 packets) 	TX: 211660059 bytes (146635 packets) 	signal: -60 dBm 	tx bitrate: 57.8 MBit/s MCS 11 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:56.820118  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 7446109 bytes (72831 packets) 	TX: 216602085 bytes (150056 packets) 	signal: -64 dBm 	tx bitrate: 57.8 MBit/s MCS 11 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:57.819982  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 7548141 bytes (73831 packets) 	TX: 219521111 bytes (152077 packets) 	signal: -64 dBm 	tx bitrate: 28.9 MBit/s MCS 9 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:58.820157  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 7691483 bytes (75236 packets) 	TX: 223730522 bytes (154991 packets) 	signal: -62 dBm 	tx bitrate: 104.0 MBit/s MCS 13  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:37:59.820158  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 7804735 bytes (76346 packets) 	TX: 227085938 bytes (157314 packets) 	signal: -63 dBm 	tx bitrate: 28.9 MBit/s MCS 9 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:38:00.820184  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 7877619 bytes (77060 packets) 	TX: 229083172 bytes (158698 packets) 	signal: -64 dBm 	tx bitrate: 43.3 MBit/s MCS 10 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:38:01.820056  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 7998215 bytes (78242 packets) 	TX: 232658228 bytes (161173 packets) 	signal: -63 dBm 	tx bitrate: 72.2 MBit/s MCS 7 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:38:02.820158  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 8110931 bytes (79347 packets) 	TX: 235814234 bytes (163358 packets) 	signal: -64 dBm 	tx bitrate: 43.3 MBit/s MCS 4 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:38:03.820143  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 8202661 bytes (80246 packets) 	TX: 238568604 bytes (165266 packets) 	signal: -63 dBm 	tx bitrate: 86.7 MBit/s MCS 12 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

13:38:04.820064  Connected to 00:25:45:a3:f7:a0 (on wlan0) 	SSID: eduroam 	freq: 2462 	RX: 8295003 bytes (81151 packets) 	TX: 241197185 bytes (167086 packets) 	signal: -63 dBm 	tx bitrate: 14.4 MBit/s MCS 8 short GI  	bss flags:	short-preamble short-slot-time 	dtim period:	1 	beacon int:	102 

