TIME # BYTES FROM IP SEQ# TTL DELAY MS
PING 10.82.31.73 (10.82.31.73) 56(84) bytes of data.
[1489980471.385020] 64 bytes from 10.82.31.73: icmp_seq=235 ttl=61 time=61.1 ms
[1489980472.363039] 64 bytes from 10.82.31.73: icmp_seq=236 ttl=61 time=38.0 ms
[1489980473.335796] 64 bytes from 10.82.31.73: icmp_seq=237 ttl=61 time=9.53 ms
[1489980474.333983] 64 bytes from 10.82.31.73: icmp_seq=238 ttl=61 time=5.81 ms
[1489980475.338098] 64 bytes from 10.82.31.73: icmp_seq=239 ttl=61 time=7.82 ms
[1489980476.336370] 64 bytes from 10.82.31.73: icmp_seq=240 ttl=61 time=5.01 ms
[1489980477.353501] 64 bytes from 10.82.31.73: icmp_seq=241 ttl=61 time=20.7 ms
[1489980478.339168] 64 bytes from 10.82.31.73: icmp_seq=242 ttl=61 time=4.37 ms
[1489980479.439466] 64 bytes from 10.82.31.73: icmp_seq=243 ttl=61 time=102 ms
[1489980480.365835] 64 bytes from 10.82.31.73: icmp_seq=244 ttl=61 time=28.0 ms
[1489980481.351407] 64 bytes from 10.82.31.73: icmp_seq=245 ttl=61 time=12.3 ms
[1489980482.477838] 64 bytes from 10.82.31.73: icmp_seq=246 ttl=61 time=137 ms
[1489980483.354838] 64 bytes from 10.82.31.73: icmp_seq=247 ttl=61 time=12.7 ms
[1489980484.357286] 64 bytes from 10.82.31.73: icmp_seq=248 ttl=61 time=13.0 ms
[1489980485.376487] 64 bytes from 10.82.31.73: icmp_seq=249 ttl=61 time=30.8 ms
[1489980486.352325] 64 bytes from 10.82.31.73: icmp_seq=250 ttl=61 time=5.46 ms
[1489980487.366150] 64 bytes from 10.82.31.73: icmp_seq=251 ttl=61 time=17.4 ms
[1489980488.382671] 64 bytes from 10.82.31.73: icmp_seq=252 ttl=61 time=31.9 ms
[1489980489.430919] 64 bytes from 10.82.31.73: icmp_seq=253 ttl=61 time=78.8 ms
[1489980492.374936] 64 bytes from 10.82.31.73: icmp_seq=256 ttl=61 time=4.55 ms
[1489980493.374038] 64 bytes from 10.82.31.73: icmp_seq=257 ttl=61 time=1.67 ms
[1489980494.376734] 64 bytes from 10.82.31.73: icmp_seq=258 ttl=61 time=2.28 ms
[1489980495.410715] 64 bytes from 10.82.31.73: icmp_seq=259 ttl=61 time=34.7 ms
[1489980496.383941] 64 bytes from 10.82.31.73: icmp_seq=260 ttl=61 time=5.99 ms
