TIME, SSID, BSSID, SIGNAL, ACTIVE
13:25:02.701609  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 15528399 bytes (151200 packets) 	TX: 431234563 bytes (298492 packets) 	signal: -49 dBm 	tx bitrate: 300.0 MBit/s MCS 15 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:25:03.701576  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 16012307 bytes (155926 packets) 	TX: 444625504 bytes (307760 packets) 	signal: -56 dBm 	tx bitrate: 270.0 MBit/s MCS 14 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:25:04.701573  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 16495663 bytes (160646 packets) 	TX: 458023670 bytes (317033 packets) 	signal: -45 dBm 	tx bitrate: 270.0 MBit/s MCS 14 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:25:05.701609  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 16975995 bytes (165338 packets) 	TX: 471463741 bytes (326335 packets) 	signal: -46 dBm 	tx bitrate: 300.0 MBit/s MCS 15 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:25:06.701630  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 17446451 bytes (169950 packets) 	TX: 484864797 bytes (335610 packets) 	signal: -48 dBm 	tx bitrate: 270.0 MBit/s MCS 14 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:25:07.701605  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 17935445 bytes (174713 packets) 	TX: 498249958 bytes (344874 packets) 	signal: -50 dBm 	tx bitrate: 270.0 MBit/s MCS 14 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:25:08.701592  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 18386011 bytes (179130 packets) 	TX: 511062899 bytes (353742 packets) 	signal: -46 dBm 	tx bitrate: 240.0 MBit/s MCS 13 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

13:25:09.701606  Connected to 00:25:45:a3:e1:de (on wlan0) 	SSID: eduroam 	freq: 5280 	RX: 18872463 bytes (183850 packets) 	TX: 524461065 bytes (363015 packets) 	signal: -44 dBm 	tx bitrate: 270.0 MBit/s MCS 14 40Mhz short GI  	bss flags:	short-slot-time 	dtim period:	1 	beacon int:	102 

